tracking_id	DMSO_CT00_0	DMSO_CT24_0	DMSO_CT04_0	DMSO_CT28_0	DMSO_CT08_0	DMSO_CT32_0	DMSO_CT12_0	DMSO_CT36_0	DMSO_CT16_0	DMSO_CT40_0	DMSO_CT20_0	DMSO_CT44_0
XLOC_000001	0	0	0	0	0.107373	0	0	0	0	0	0	0
XLOC_000002	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000003	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000004	0	0	0	0.071774	0	0.185431	0	0	0.0664312	0	0.0817813	0.109733
XLOC_000005	5.40781	5.41438	3.99498	3.59376	4.30317	4.6096	3.24034	4.1985	5.10142	4.53485	4.44879	4.28107
XLOC_000006	5.87381	3.4866	5.99637	4.19833	7.07913	4.7139	5.64757	4.77602	3.73825	4.14542	3.81484	4.71248
XLOC_000007	5.459	5.28008	8.75054	9.63112	8.30085	8.29412	5.44101	5.75751	9.50194	6.97804	8.01943	8.49506
XLOC_000008	0.83811	0.326523	0.813316	1.45386	0.669179	1.42029	0.880248	0.446523	1.22893	0.792167	0.680521	1.34185
XLOC_000009	11.1541	16.9956	16.3019	15.6781	18.8452	11.1738	15.8392	14.8566	12.0091	16.8182	14.168	15.2911
XLOC_000010	111.922	114.686	117.714	124.464	118.932	108.034	125.705	121.737	126.123	115.273	111.59	117.586
XLOC_000011	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000012	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000013	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000014	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000015	0	0	0	0	0.0814333	0	0.0671887	0	0.168745	0.0607471	0	0.100013
XLOC_000016	3.12907	4.15533	3.66124	3.8605	4.14523	4.19728	3.20107	3.95125	3.70712	3.85382	4.9486	4.13155
XLOC_000017	0.934904	0.805164	0.793374	0.453133	0.84619	0.546325	0.450877	0.406603	0.712993	0.44762	0.610177	0.623522
XLOC_000018	9.59307	7.90875	7.26988	6.38896	6.0029	3.63342	5.99733	6.89577	5.13236	5.03741	7.14241	4.42321
XLOC_000019	10.086	9.18286	8.30619	9.48111	9.30198	7.08349	10.9681	7.81741	7.72928	9.27084	9.37217	8.63965
XLOC_000020	0	0.106321	0	0.116681	0.19368	0.100483	0.086	0	0.0719967	0.0361175	0.0886328	0
XLOC_000021	6.91363	7.07556	8.65451	8.57382	8.86131	7.3836	9.92619	9.97974	7.78587	8.93832	8.57114	10.1404
XLOC_000022	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000023	0.0453271	0	0.179519	0.123039	0.0382908	0.105958	0.0340047	0.125774	0.0518926	0.057127	0.0350457	0.094053
XLOC_000024	0.654611	1.12087	1.99417	1.0934	0.85076	1.00047	0.831083	0.459907	1.10689	0.951902	0.856525	1.14928
XLOC_000025	8.31188	8.14983	9.32347	8.45429	7.68233	6.97708	5.92233	6.63967	7.76989	6.69764	6.68285	7.7949
XLOC_000026	13.375	11.1041	10.8509	10.217	12.2771	10.4886	12.6778	11.3886	11.21	12.8757	11.2971	10.7675
XLOC_000027	5.87875	6.2236	5.56951	7.29493	6.68675	5.76979	6.9268	8.00885	7.62557	6.24846	4.68315	6.26753
XLOC_000028	0	0.164766	0	0	0	0.103812	0.154088	0	0	0.111942	0.137354	0
XLOC_000029	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000030	0	0	0	0.139226	0.346655	0.239797	0.307852	0.156163	0	0.129289	0.317276	0.638578
