gene	0	4	8	12	16	20	24	28	32	36	40	44
DDX11L1	0.0	0.0	0.107373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR1302-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM87B	0.0	0.0	0.0	0.0	0.0664312	0.0817813	0.0	0.071774	0.185431	0.0	0.0	0.109733
LINC01128	5.40781	3.99498	4.30317	3.24034	5.10142	4.44879	5.41438	3.59376	4.6096	4.1985	4.53485	4.28107
SAMD11	5.87381	5.99637	7.07913	5.64757	3.73825	3.81484	3.4866	4.19833	4.7139	4.77602	4.14542	4.71248
KLHL17	5.459	8.75054	8.30085	5.44101	9.50194	8.01943	5.28008	9.63112	8.29412	5.75751	6.97804	8.49506
PLEKHN1	0.83811	0.813316	0.669179	0.880248	1.22893	0.680521	0.326523	1.45386	1.42029	0.446523	0.792167	1.34185
ISG15	11.1541	16.3019	18.8452	15.8392	12.0091	14.168	16.9956	15.6781	11.1738	14.8566	16.8182	15.2911
AGRN	111.922	117.714	118.932	125.705	126.123	111.59	114.686	124.464	108.034	121.737	115.273	117.586
LINC01342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR200B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR200A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TTLL10	0.0	0.0	0.0814333	0.0671887	0.168745	0.0	0.0	0.0	0.0	0.0	0.0607471	0.100013
B3GALT6	3.12907	3.66124	4.14523	3.20107	3.70712	4.9486	4.15533	3.8605	4.19728	3.95125	3.85382	4.13155
SCNN1D	0.934904	0.793374	0.84619	0.450877	0.712993	0.610177	0.805164	0.453133	0.546325	0.406603	0.44762	0.623522
PUSL1	9.59307	7.26988	6.0029	5.99733	5.13236	7.14241	7.90875	6.38896	3.63342	6.89577	5.03741	4.42321
CPTP	10.086	8.30619	9.30198	10.9681	7.72928	9.37217	9.18286	9.48111	7.08349	7.81741	9.27084	8.63965
TAS1R3	0.0	0.0	0.19368	0.086	0.0719967	0.0886328	0.106321	0.116681	0.100483	0.0	0.0361175	0.0
LOC148413	6.91363	8.65451	8.86131	9.92619	7.78587	8.57114	7.07556	8.57382	7.3836	9.97974	8.93832	10.1404
TMEM88B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VWA1	0.0453271	0.179519	0.0382908	0.0340047	0.0518926	0.0350457	0.0	0.123039	0.105958	0.125774	0.057127	0.094053
ATAD3C	0.654611	1.99417	0.85076	0.831083	1.10689	0.856525	1.12087	1.0934	1.00047	0.459907	0.951902	1.14928
