gene	amplitude	phase	mean	r2	p_value
A1BG	-0.14468628976497563	-0.4474977412855102	3.002932081377553	0.4029248809802981	0.09820427244254515
AAED1	0.1088545496822898	1.4260196804038345	3.7519134337727813	0.3901317699061556	0.1080343954413846
ABALON	-0.1535622293664553	0.7417855703207772	6.52563892978146	0.6911277030169509	0.0050583084678781365
ABCA7	0.13123645985644997	0.8249873936685314	1.3486379164129845	0.3890386449744956	0.10890851430972814
ABCA9-AS1	0.3271937286421247	1.2200512982266944	0.22893088139154544	0.3170876722362801	0.17973898569400248
ABCC2	0.11278720721904369	-0.4783218882752227	0.35443700039180187	0.34212594329804247	0.15192960943143496
ABCC6P2	-0.17692859855473234	-0.7368746982960594	0.13170559616303182	0.3166178187193911	0.18029613964698488
ABCE1	0.13204050783827342	-0.25258584493778546	4.666895338338476	0.4711018261964133	0.05690812852010252
ABHD12B	-0.14812004316511984	0.6008233527409111	0.17458441079778045	0.5641107020668885	0.023833780101017665
ABHD2	0.11807389504641519	-0.17523424552607486	4.315493001149699	0.3292115411892925	0.16581931549215034
ABHD5	0.13917098945612932	0.18262450805526848	2.613108179775206	0.38958022681667315	0.1084747528444161
ABL2	0.11756576029377994	-1.2435553163688589	4.095227649053567	0.3666699352352415	0.1280369947508052
ABLIM2	0.21395252844745272	-1.670535220039225	1.2669024117405359	0.4812759192297279	0.052145140729807915
ABRACL	-0.14471759106865972	0.7096981774684262	4.66038064288262	0.32296942569382936	0.1728770198226235
ACACB	0.11649367605200493	0.5569106059157352	0.6408788011889447	0.575578936559169	0.021139084824364662
ACAD10	0.17656253359047627	1.1364898012522842	2.485436828920196	0.5469675888509	0.028351871490694625
ACAD8	-0.19447230078237662	0.5903963543456322	3.460664975044519	0.49359945759313195	0.0467976160377126
ACADS	-0.13192328017571503	-0.11830259068511328	3.1632919084442204	0.3110361477116226	0.18701823936859951
ACAP3	0.11616559880866911	1.1721227663377796	3.0090035756404356	0.41028840257437826	0.09287065523494886
ACOT13	-0.14021196557750848	0.5516155039094138	2.62392676063209	0.44216242574081654	0.07232441617530772
ACOT4	0.16260044169751212	1.9047658996818724	2.5350193222792745	0.40843448057072973	0.09419174344503034
ACOT8	-0.10293876620208836	-0.1872863319136148	4.213552726967562	0.3345637582704273	0.15994807804943312
ACOX2	-0.2298240234750398	0.6939718922028334	0.598928643016582	0.35735627784278445	0.1367307550887754
ACRV1	-0.24935437067399732	0.006699364552211363	0.27589901415642576	0.4975064209261608	0.04519468096117052
ACTA1	0.1780491240705858	0.9224384278921197	0.3550195701828496	0.36292372257161876	0.13148053172149377
ACY3	0.1273861274483409	-1.0471975442150878	0.06369306403461127	0.39222615012906126	0.10637487082101593
ADAL	-0.10901544992478567	-0.46452898099953766	1.9821448400920734	0.30438716593154547	0.19527836834082746
ADAM12	0.193427153546167	-0.20920976316321196	1.9816122338903217	0.5159227699182894	0.0382046255044346
