tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length
XLOC_000001	-	-	XLOC_000001	DDX11L1	TSS1	chr1:11873-29370	-
XLOC_000002	-	-	XLOC_000002	MIR1302-9	TSS2	chr1:30365-30503	-
XLOC_000003	-	-	XLOC_000003	OR4F5	TSS3	chr1:69090-70008	-
XLOC_000004	-	-	XLOC_000004	FAM87B	TSS4	chr1:817370-819834	-
XLOC_000005	-	-	XLOC_000005	LINC01128	TSS5,TSS6	chr1:827590-859446	-
XLOC_000006	-	-	XLOC_000006	SAMD11	TSS7	chr1:925740-959299	-
XLOC_000007	-	-	XLOC_000007	KLHL17	TSS8	chr1:960586-965719	-
XLOC_000008	-	-	XLOC_000008	PLEKHN1	TSS9	chr1:966496-975104	-
XLOC_000009	-	-	XLOC_000009	ISG15	TSS10	chr1:1013466-1014539	-
XLOC_000010	-	-	XLOC_000010	AGRN	TSS11	chr1:1020122-1056119	-
XLOC_000011	-	-	XLOC_000011	LINC01342	TSS12	chr1:1137016-1144054	-
XLOC_000012	-	-	XLOC_000012	MIR200B	TSS13	chr1:1167103-1167198	-
XLOC_000013	-	-	XLOC_000013	MIR200A	TSS14	chr1:1167862-1167952	-
XLOC_000014	-	-	XLOC_000014	MIR429	TSS15	chr1:1169004-1169087	-
XLOC_000015	-	-	XLOC_000015	TTLL10	TSS16,TSS17	chr1:1173905-1197933	-
XLOC_000016	-	-	XLOC_000016	B3GALT6	TSS18	chr1:1232248-1235040	-
XLOC_000017	-	-	XLOC_000017	SCNN1D	TSS19	chr1:1280435-1292029	-
XLOC_000018	-	-	XLOC_000018	PUSL1	TSS20	chr1:1308613-1324687	-
XLOC_000019	-	-	XLOC_000019	CPTP	TSS21	chr1:1324762-1328896	-
XLOC_000020	-	-	XLOC_000020	TAS1R3	TSS22	chr1:1331345-1349112	-
XLOC_000021	-	-	XLOC_000021	LOC148413	TSS23	chr1:1399529-1407313	-
XLOC_000022	-	-	XLOC_000022	TMEM88B	TSS24	chr1:1426127-1427787	-
XLOC_000023	-	-	XLOC_000023	VWA1	TSS25	chr1:1435522-1442882	-
XLOC_000024	-	-	XLOC_000024	ATAD3C	TSS26	chr1:1449688-1470158	-
XLOC_000025	-	-	XLOC_000025	ATAD3B	TSS27,TSS28	chr1:1471754-1496204	-
XLOC_000026	-	-	XLOC_000026	ATAD3A	TSS29,TSS30	chr1:1512142-1534687	-
XLOC_000027	-	-	XLOC_000027	MIB2	TSS31,TSS32	chr1:1615414-1630610	-
XLOC_000028	-	-	XLOC_000028	MMP23A,MMP23B	TSS33,TSS34	chr1:1632180-1634654	-
XLOC_000029	-	-	XLOC_000029	MMP23A	TSS35	chr1:1699938-1701808	-
XLOC_000030	-	-	XLOC_000030	CALML6	TSS36	chr1:1914826-1917294	-
XLOC_000031	-	-	XLOC_000031	GABRD	TSS37	chr1:2019328-2030753	-
